Timestamp,P (W),S (VA),Q (VAR),Irms (A),Vrms (V),Pf,F (Hz),Appliance
2024-10-28 18:43:01,0.01,12.92,12.92,0.049,266.43,0.001,5239.92,No Appliance Detected
2024-10-28 18:43:01,0.41,13.68,13.67,0.051,266.0,0.03,5239.92,No Appliance Detected
2024-10-28 18:43:01,-0.26,14.04,14.04,0.053,264.51,0.018,5239.92,No Appliance Detected
2024-10-28 18:43:03,0.08,12.95,12.95,0.049,264.74,0.006,50.14,No Appliance Detected
2024-10-28 18:43:03,-0.05,14.95,14.95,0.056,264.85,0.004,50.14,No Appliance Detected
2024-10-28 18:43:03,0.15,12.74,12.74,0.048,263.73,0.012,50.14,No Appliance Detected
2024-10-28 18:43:05,2339.35,2352.76,250.8,8.945,263.01,0.994,50.14,kettle
2024-10-28 18:43:05,96.37,101.55,32.03,0.389,261.29,0.949,50.14,fan
2024-10-28 18:43:05,-0.33,13.88,13.87,0.053,262.21,0.024,50.14,No Appliance Detected
2024-10-28 18:43:07,2286.27,2299.77,248.79,8.796,261.46,0.994,50.12,kettle
2024-10-28 18:43:07,92.79,98.0,31.53,0.375,261.01,0.947,50.12,fan
2024-10-28 18:43:07,852.65,858.18,97.3,3.277,261.87,0.994,50.12,toaster
2024-10-28 18:43:09,2271.82,2282.71,222.65,8.748,260.94,0.995,50.13,kettle
2024-10-28 18:43:09,86.98,92.46,31.35,0.355,260.2,0.941,50.13,fan
2024-10-28 18:43:09,840.1,845.8,97.98,3.243,260.82,0.993,50.13,toaster
2024-10-28 18:43:12,2260.23,2273.68,246.92,8.715,260.89,0.994,50.06,kettle
2024-10-28 18:43:12,85.28,90.81,31.21,0.348,261.08,0.939,50.06,fan
2024-10-28 18:43:12,838.84,845.12,102.89,3.236,261.16,0.993,50.06,toaster
2024-10-28 18:43:14,2251.7,2266.13,255.33,8.691,260.75,0.994,50.12,kettle
2024-10-28 18:43:14,84.46,89.98,31.04,0.344,261.65,0.939,50.12,fan
2024-10-28 18:43:14,837.33,842.8,95.87,3.235,260.55,0.994,50.12,toaster
2024-10-28 18:43:16,2244.15,2256.38,234.61,8.648,260.91,0.995,50.12,kettle
2024-10-28 18:43:16,83.27,88.88,31.07,0.339,261.92,0.937,50.12,fan
2024-10-28 18:43:16,838.42,845.97,112.76,3.235,261.47,0.991,50.12,toaster
2024-10-28 18:43:18,2242.28,2254.06,230.13,8.653,260.49,0.995,50.38,kettle
2024-10-28 18:43:18,83.68,89.28,31.11,0.339,262.99,0.937,50.38,fan
2024-10-28 18:43:18,839.03,845.62,105.39,3.227,262.03,0.992,50.38,toaster
2024-10-28 18:43:20,2239.62,2250.79,223.91,8.631,260.78,0.995,50.14,kettle
2024-10-28 18:43:20,82.82,88.4,30.92,0.337,261.99,0.937,50.14,fan
2024-10-28 18:43:20,832.89,839.46,104.85,3.222,260.54,0.992,50.14,toaster
2024-10-28 18:43:22,2232.82,2245.72,240.35,8.633,260.15,0.994,50.09,kettle
2024-10-28 18:43:22,82.45,88.15,31.19,0.338,260.71,0.935,50.09,fan
2024-10-28 18:43:22,829.96,835.53,96.29,3.218,259.62,0.993,50.09,toaster
2024-10-28 18:43:24,2230.83,2243.0,233.36,8.616,260.33,0.995,50.11,kettle
2024-10-28 18:43:24,82.56,88.26,31.21,0.339,260.47,0.935,50.11,fan
2024-10-28 18:43:24,835.43,840.6,93.13,3.219,261.15,0.994,50.11,toaster
2024-10-28 18:43:26,2248.31,2262.93,256.84,8.63,262.21,0.994,50.13,kettle
2024-10-28 18:43:26,81.94,87.84,31.65,0.337,260.81,0.933,50.13,fan
2024-10-28 18:43:26,830.62,835.92,94.04,3.212,260.27,0.994,50.13,toaster
2024-10-28 18:43:28,2233.18,2246.0,239.55,8.622,260.5,0.994,50.12,kettle
2024-10-28 18:43:28,81.62,87.39,31.23,0.336,260.1,0.934,50.12,fan
2024-10-28 18:43:28,837.12,843.3,101.93,3.216,262.19,0.993,50.12,toaster
2024-10-28 18:43:30,2236.09,2248.08,231.83,8.623,260.71,0.995,50.1,kettle
2024-10-28 18:43:30,82.57,88.3,31.3,0.338,261.37,0.935,50.1,fan
2024-10-28 18:43:30,832.21,837.88,97.29,3.215,260.61,0.993,50.1,toaster
2024-10-28 18:43:33,2231.15,2240.8,207.72,8.623,259.87,0.996,50.11,kettle
2024-10-28 18:43:33,81.96,87.57,30.81,0.335,261.26,0.936,50.11,fan
2024-10-28 18:43:33,834.14,838.63,86.66,3.217,260.72,0.995,50.11,toaster
2024-10-28 18:43:35,2241.76,2254.64,240.61,8.617,261.64,0.994,49.82,kettle
2024-10-28 18:43:35,80.77,86.45,30.82,0.332,260.23,0.934,49.82,fan
2024-10-28 18:43:35,834.74,839.9,92.94,3.214,261.29,0.994,49.82,toaster
2024-10-28 18:43:37,2239.64,2252.08,236.34,8.63,260.97,0.994,50.09,kettle
2024-10-28 18:43:37,81.66,87.52,31.5,0.335,260.98,0.933,50.09,fan
2024-10-28 18:43:37,832.48,838.72,102.14,3.213,261.0,0.993,50.09,toaster
2024-10-28 18:43:39,2235.55,2249.94,254.08,8.623,260.93,0.994,50.06,kettle
2024-10-28 18:43:39,81.4,87.27,31.46,0.333,261.78,0.933,50.06,fan
2024-10-28 18:43:39,833.78,839.36,96.63,3.212,261.31,0.993,50.06,toaster
2024-10-28 18:43:41,2231.29,2241.8,216.79,8.628,259.82,0.995,50.06,kettle
2024-10-28 18:43:41,82.25,88.0,31.29,0.335,262.31,0.935,50.06,fan
2024-10-28 18:43:41,835.34,841.47,101.34,3.215,261.77,0.993,50.06,toaster
2024-10-28 18:43:43,2240.69,2251.59,221.32,8.628,260.97,0.995,50.07,kettle
2024-10-28 18:43:43,81.73,87.82,32.13,0.334,262.75,0.931,50.07,fan
2024-10-28 18:43:43,836.39,841.82,95.49,3.213,262.03,0.994,50.07,toaster
2024-10-28 18:43:45,2255.45,2266.77,226.21,8.633,262.57,0.995,50.08,kettle
2024-10-28 18:43:45,81.68,87.37,31.03,0.334,261.26,0.935,50.08,fan
2024-10-28 18:43:45,834.17,840.48,102.77,3.213,261.59,0.992,50.08,toaster
2024-10-28 18:43:47,2238.27,2249.91,228.64,8.623,260.92,0.995,50.06,kettle
2024-10-28 18:43:47,81.72,87.46,31.15,0.334,262.05,0.934,50.06,fan
2024-10-28 18:43:47,833.14,838.22,92.06,3.212,260.97,0.994,50.06,toaster
2024-10-28 18:43:49,2235.89,2248.49,237.7,8.629,260.57,0.994,50.04,kettle
2024-10-28 18:43:49,82.27,88.28,32.0,0.338,261.55,0.932,50.04,fan
2024-10-28 18:43:49,831.09,836.99,99.18,3.213,260.53,0.993,50.04,toaster
2024-10-28 18:43:51,2245.82,2257.91,233.36,8.624,261.81,0.995,4143.17,kettle
2024-10-28 18:43:51,81.47,87.63,32.29,0.337,260.41,0.93,4143.17,fan
2024-10-28 18:43:51,836.63,842.64,100.52,3.211,262.44,0.993,4143.17,toaster
2024-10-28 18:43:54,2247.07,2261.68,256.68,8.625,262.22,0.994,50.04,kettle
2024-10-28 18:43:54,81.08,87.15,31.96,0.334,261.28,0.93,50.04,fan
2024-10-28 18:43:54,827.45,832.76,93.87,3.21,259.47,0.994,50.04,toaster
2024-10-28 18:43:56,2247.39,2260.51,243.21,8.629,261.96,0.994,49.98,kettle
2024-10-28 18:43:56,81.3,87.72,32.95,0.336,260.88,0.927,49.98,fan
2024-10-28 18:43:56,833.53,839.55,100.32,3.21,261.55,0.993,49.98,toaster
2024-10-28 18:43:58,2244.94,2257.96,242.14,8.628,261.7,0.994,4095.56,kettle
2024-10-28 18:43:58,80.49,86.42,31.46,0.331,261.22,0.931,4095.56,fan
2024-10-28 18:43:58,828.29,834.15,98.74,3.207,260.08,0.993,4095.56,toaster
2024-10-28 18:44:00,2236.31,2248.15,230.41,8.617,260.9,0.995,50.09,kettle
2024-10-28 18:44:00,80.79,86.76,31.63,0.334,259.49,0.931,50.09,fan
2024-10-28 18:44:00,831.69,837.04,94.49,3.202,261.45,0.994,50.09,toaster
2024-10-28 18:44:02,2230.07,2242.46,235.43,8.612,260.4,0.994,50.06,kettle
2024-10-28 18:44:02,80.55,86.36,31.14,0.332,260.44,0.933,50.06,fan
2024-10-28 18:44:02,830.17,835.12,90.8,3.207,260.42,0.994,50.06,toaster
2024-10-28 18:44:04,2230.41,2240.64,213.88,8.62,259.94,0.995,50.07,kettle
2024-10-28 18:44:04,80.95,87.05,31.99,0.334,260.95,0.93,50.07,fan
2024-10-28 18:44:04,829.43,835.72,102.37,3.205,260.79,0.992,50.07,toaster
2024-10-28 18:44:06,2232.31,2245.3,241.14,8.608,260.83,0.994,50.06,kettle
2024-10-28 18:44:06,81.13,86.91,31.18,0.333,261.07,0.933,50.06,fan
2024-10-28 18:44:06,829.58,835.08,95.63,3.203,260.68,0.993,50.06,toaster
2024-10-28 18:44:08,2236.19,2250.18,250.47,8.611,261.31,0.994,50.07,kettle
2024-10-28 18:44:08,81.29,87.45,32.26,0.334,262.02,0.929,50.07,fan
2024-10-28 18:44:08,829.85,835.49,96.98,3.201,261.03,0.993,50.07,toaster
2024-10-28 18:44:10,2231.1,2242.1,221.76,8.611,260.37,0.995,50.09,kettle
2024-10-28 18:44:10,80.66,86.82,32.13,0.333,260.55,0.929,50.09,fan
2024-10-28 18:44:10,827.78,833.31,95.82,3.201,260.31,0.993,50.09,toaster
2024-10-28 18:44:12,2237.5,2248.21,219.17,8.606,261.22,0.995,50.07,kettle
2024-10-28 18:44:12,80.28,86.15,31.26,0.331,260.04,0.932,50.07,fan
2024-10-28 18:44:12,829.9,836.23,102.67,3.199,261.43,0.992,50.07,toaster
2024-10-28 18:44:15,2235.14,2247.75,237.77,8.606,261.18,0.994,50.04,kettle
2024-10-28 18:44:15,80.47,86.83,32.62,0.333,260.48,0.927,50.04,fan
2024-10-28 18:44:15,829.43,835.6,101.39,3.206,260.67,0.993,50.04,toaster
2024-10-28 18:44:17,2227.97,2242.07,251.09,8.597,260.79,0.994,50.04,kettle
2024-10-28 18:44:17,80.03,86.03,31.57,0.331,259.53,0.93,50.04,fan
2024-10-28 18:44:17,828.22,833.92,97.3,3.199,260.7,0.993,50.04,toaster
2024-10-28 18:44:19,2228.7,2240.77,232.28,8.601,260.54,0.995,49.98,kettle
2024-10-28 18:44:19,79.76,85.99,32.13,0.33,260.85,0.928,49.98,fan
2024-10-28 18:44:19,824.73,829.91,92.59,3.196,259.69,0.994,49.98,toaster
2024-10-28 18:44:21,2222.31,2234.04,228.62,8.601,259.76,0.995,50.02,kettle
2024-10-28 18:44:21,80.26,86.22,31.5,0.331,260.41,0.931,50.02,fan
2024-10-28 18:44:21,825.73,831.05,93.95,3.197,259.92,0.994,50.02,toaster
2024-10-28 18:44:23,2227.89,2239.84,231.0,8.598,260.51,0.995,50.03,kettle
2024-10-28 18:44:23,80.73,86.97,32.35,0.332,261.83,0.928,50.03,fan
2024-10-28 18:44:23,827.98,833.36,94.53,3.197,260.71,0.994,50.03,toaster
2024-10-28 18:44:25,2229.72,2242.58,239.78,8.589,261.1,0.994,49.98,kettle
2024-10-28 18:44:25,79.46,85.53,31.65,0.329,259.71,0.929,49.98,fan
2024-10-28 18:44:25,824.05,829.37,93.79,3.19,259.99,0.994,49.98,toaster
2024-10-28 18:44:27,2211.21,2222.99,228.51,8.59,258.8,0.995,49.99,kettle
2024-10-28 18:44:27,79.34,85.13,30.86,0.328,259.49,0.932,49.99,fan
2024-10-28 18:44:27,823.45,829.22,97.7,3.191,259.88,0.993,49.99,toaster
2024-10-28 18:44:29,2219.26,2230.42,222.85,8.594,259.54,0.995,50.0,kettle
2024-10-28 18:44:29,79.28,85.38,31.71,0.329,259.72,0.928,50.0,fan
2024-10-28 18:44:29,825.04,830.94,98.81,3.194,260.13,0.993,50.0,toaster
2024-10-28 18:44:50,2234.54,2246.64,232.8,8.614,260.82,0.995,4326.27,kettle
2024-10-28 18:44:50,79.43,85.4,31.37,0.328,260.2,0.93,4326.27,fan
2024-10-28 18:44:50,824.76,831.68,107.01,3.195,260.3,0.992,4326.27,toaster
2024-10-28 18:44:50,2241.09,2256.26,261.24,8.604,262.23,0.993,50.0,kettle
2024-10-28 18:44:50,79.84,86.1,32.24,0.33,260.55,0.927,50.0,fan
2024-10-28 18:44:50,827.83,833.1,93.54,3.199,260.4,0.994,50.0,toaster
2024-10-28 18:44:50,2234.46,2248.3,249.07,8.623,260.74,0.994,49.99,kettle
2024-10-28 18:44:50,80.2,86.41,32.16,0.331,261.37,0.928,49.99,fan
2024-10-28 18:44:50,824.2,829.85,96.66,3.194,259.79,0.993,49.99,toaster
2024-10-28 18:44:50,2223.04,2236.09,241.2,8.602,259.96,0.994,49.97,kettle
2024-10-28 18:44:50,79.73,86.04,32.36,0.331,260.22,0.927,49.97,fan
2024-10-28 18:44:50,828.64,834.66,100.1,3.2,260.82,0.993,49.97,toaster
2024-10-28 18:44:50,2229.73,2243.81,250.98,8.616,260.41,0.994,49.94,kettle
2024-10-28 18:44:50,80.09,86.22,31.94,0.33,261.27,0.929,49.94,fan
2024-10-28 18:44:50,828.87,835.04,101.31,3.199,261.05,0.993,49.94,toaster
2024-10-28 18:44:50,2238.64,2251.6,241.2,8.614,261.39,0.994,113.03,kettle
2024-10-28 18:44:50,79.42,85.34,31.21,0.327,260.71,0.931,113.03,fan
2024-10-28 18:44:50,827.09,832.58,95.43,3.2,260.22,0.993,113.03,toaster
2024-10-28 18:44:50,2222.21,2234.92,238.1,8.595,260.03,0.994,49.94,kettle
2024-10-28 18:44:50,78.77,84.73,31.22,0.327,259.34,0.93,49.94,fan
2024-10-28 18:44:50,826.05,831.29,93.13,3.193,260.37,0.994,49.94,toaster
2024-10-28 18:44:50,2220.47,2232.68,233.17,8.601,259.57,0.995,49.93,kettle
2024-10-28 18:44:50,79.01,85.47,32.6,0.331,258.16,0.924,49.93,fan
2024-10-28 18:44:50,819.55,825.61,99.87,3.192,258.63,0.993,49.93,toaster
2024-10-28 18:44:51,2230.06,2240.66,217.65,8.618,260.01,0.995,49.97,kettle
2024-10-28 18:44:51,78.78,85.08,32.13,0.327,259.88,0.926,49.97,fan
2024-10-28 18:44:51,822.49,827.97,95.18,3.191,259.44,0.993,49.97,toaster
2024-10-28 18:44:51,2210.15,2222.51,234.02,8.6,258.43,0.994,49.96,kettle
2024-10-28 18:44:51,80.42,86.56,32.0,0.332,260.9,0.929,49.96,fan
2024-10-28 18:44:51,827.11,832.94,98.34,3.196,260.62,0.993,49.96,toaster
2024-10-28 18:44:52,2230.45,2243.45,241.15,8.613,260.48,0.994,49.99,kettle
2024-10-28 18:44:52,79.22,85.47,32.08,0.328,260.62,0.927,49.99,fan
